Date,Dead,Injured,Location,City,State
7/15/2015,4,1,"Holly Hill, SC",Holly Hill, SC
7/16/2015,5,3,"Chattanooga, TN",Chattanooga, TN
7/16/2015,0,4,"Dallas, TX",Dallas, TX
7/17/2015,2,4,"Aroostook County, ME",Aroostook County, ME
7/17/2015,0,5,"Chicago, IL",Chicago, IL
7/17/2015,0,4,"Cincinnati, OH",Cincinnati, OH
7/17/2015,1,5,"Columbus, OH",Columbus, OH
7/17/2015,1,3,"Washington, DC",Washington, DC
7/18/2015,2,2,"Baton Rouge, LA",Baton Rouge, LA
7/18/2015,1,3,"Salem, OR",Salem, OR
7/19/2015,0,6,"Louisville, KY",Louisville, KY
7/19/2015,0,4,"Suffolk, VA",Suffolk, VA
7/20/2015,0,5,"Bronx, NY",Bronx, NY
7/21/2015,1,3,"Miami Gardens, FL",Miami Gardens, FL
7/22/2015,4,1,"Forsyth County, GA",Forsyth County, GA
7/23/2015,3,9,"Lafayette, LA",Lafayette, LA
7/25/2015,2,4,"Erie, PA",Erie, PA
7/25/2015,0,4,"Hopewell, VA",Hopewell, VA
7/26/2015,0,5,"Indianapolis, IN",Indianapolis, IN
7/26/2015,2,3,"Kansas City, MO",Kansas City, MO
7/26/2015,0,4,"New Orleans, LA",New Orleans, LA
7/27/2015,0,5,"Rockford, IL",Rockford, IL
7/28/2015,2,2,"West Frankfort, IL",West Frankfort, IL
7/30/2015,0,4,"Pittsburgh, PA",Pittsburgh, PA
8/1/2015,0,4,"Orlando, FL",Orlando, FL
8/2/2015,0,7,"Baltimore, MD",Baltimore, MD
8/2/2015,0,9,"Brooklyn, NY",Brooklyn, NY
8/2/2015,1,4,"Chicago, IL",Chicago, IL
8/2/2015,0,5,"Savannah, GA",Savannah, GA
8/3/2015,0,5,"Brooklyn, NY",Brooklyn, NY
8/4/2015,1,4,"St. Louis, MO",St. Louis, MO
8/6/2015,0,4,"Columbia, SC",Columbia, SC
8/7/2015,4,0,"Barre, VT",Barre, VT
8/8/2015,1,11,"Blytheville, AR",Blytheville, AR
8/8/2015,2,3,"Gastonia, NC",Gastonia, NC
8/8/2015,8,0,"Houston, TX",Houston, TX
8/9/2015,1,3,"Detroit, MI",Detroit, MI
8/9/2015,1,3,"Forest, MS",Forest, MS
8/10/2015,0,4,"Long Beach, CA",Long Beach, CA
8/15/2015,0,4,"Los Angeles, CA",Los Angeles, CA
8/15/2015,1,3,"Orangeburg, SC",Orangeburg, SC
8/15/2015,1,3,"Pittsburgh, PA",Pittsburgh, PA
8/16/2015,0,5,"Bennettsville, SC",Bennettsville, SC
8/16/2015,0,4,"Chicago, IL",Chicago, IL
8/16/2015,0,6,"Fort Worth, TX",Fort Worth, TX
8/16/2015,1,3,"Miami, FL",Miami, FL
8/19/2015,3,4,"Rochester, NY",Rochester, NY
8/20/2015,2,2,"Starr County, TX",Starr County, TX
8/21/2015,2,5,"Cincinnati, OH",Cincinnati, OH
8/21/2015,0,8,"Durham, NC",Durham, NC
8/21/2015,0,4,"Pine Hills, FL",Pine Hills, FL
8/21/2015,3,1,"Roswell, NM",Roswell, NM
8/22/2015,1,7,"Modesto, CA",Modesto, CA
8/25/2015,1,3,"New Orleans, LA",New Orleans, LA
8/26/2015,0,4,"Brooklyn Center, MN",Brooklyn Center, MN
8/26/2015,1,3,"Chicago, IL",Chicago, IL
8/26/2015,3,1,"Moneta, VA",Moneta, VA
8/26/2015,2,2,"West Palm Beach, FL",West Palm Beach, FL
8/27/2015,2,2,"Salinas, CA",Salinas, CA
8/28/2015,1,3,"Brooklyn, NY",Brooklyn, NY
8/29/2015,3,2,"Bristol, TN",Bristol, TN
8/29/2015,0,4,"Macon, GA",Macon, GA
8/29/2015,1,3,"Smith County, TX",Smith County, TX
8/30/2015,1,4,"Memphis, TN",Memphis, TN
8/30/2015,0,4,"Muskegon Heights, MI",Muskegon Heights, MI
9/1/2015,4,0,"Long Branch, NJ",Long Branch, NJ
9/5/2015,1,3,"Charlotte, NC",Charlotte, NC
9/5/2015,0,4,"Columbus, MO",Columbus, MO
9/5/2015,0,4,"Daytona Beach, FL",Daytona Beach, FL
9/5/2015,1,3,"Las Vegas, NV",Las Vegas, NV
9/7/2015,0,4,"Denver, CO",Denver, CO
9/7/2015,0,5,"Washington, DC",Washington, DC
9/8/2015,0,4,"Chicago, IL",Chicago, IL
9/8/2015,4,0,"Manson, WA",Manson, WA
9/8/2015,5,0,"Minneapolis, MN",Minneapolis, MN
9/11/2015,0,5,"Charlotte, NC",Charlotte, NC
9/12/2015,1,3,"Minneapolis, MN",Minneapolis, MN
9/12/2015,0,6,"Minneapolis, MN",Minneapolis, MN
9/12/2015,2,4,"Rochester, NY",Rochester, NY
9/12/2015,0,4,"Shreveport, LA",Shreveport, LA
9/13/2015,4,0,"Baker, LA",Baker, LA
9/13/2015,2,2,"Los Chavez, NM",Los Chavez, NM
9/13/2015,1,5,"Ocala, FL",Ocala, FL
9/15/2015,0,4,"Newark, NJ",Newark, NJ
9/17/2015,0,4,"Albion, MI",Albion, MI
9/17/2015,6,0,"Platte, SD",Platte, SD
9/19/2015,1,3,"Indianapolis, IN",Indianapolis, IN
9/20/2015,1,5,"Chicago, IL",Chicago, IL
9/20/2015,0,6,"Tulsa, OK",Tulsa, OK
9/21/2015,1,3,"Philadelphia, PA",Philadelphia, PA
9/21/2015,2,2,"Sand City, CA",Sand City, CA
9/23/2015,0,4,"Fort Meyers, FL",Fort Meyers, FL
9/23/2015,1,3,"Norcross, GA",Norcross, GA
9/23/2015,0,5,"Shreveport, LA",Shreveport, LA
9/24/2015,0,5,"Chicago, IL",Chicago, IL
9/25/2015,0,4,"Danville, IL",Danville, IL
9/26/2015,2,2,"Banning, CA",Banning, CA
9/27/2015,0,10,"Greenville, GA",Greenville, GA
9/27/2015,0,4,"Kansas City, MO",Kansas City, MO
9/28/2015,2,3,"Chicago, IL",Chicago, IL
9/28/2015,0,5,"Cincinnati, OH",Cincinnati, OH
9/28/2015,0,4,"Dayton, OH",Dayton, OH
9/29/2015,3,2,"Chicago, IL",Chicago, IL
10/1/2015,10,7,"Roseburg, OR",Roseburg, OR
10/2/2015,1,4,"Baltimore, MD",Baltimore, MD
10/2/2015,3,1,"Inglis, FL",Inglis, FL
10/6/2015,0,5,"Baltimore, MD",Baltimore, MD
10/9/2015,1,3,"Flagstaff, AZ",Flagstaff, AZ
10/10/2015,0,4,"Charlotte, NC",Charlotte, NC
10/10/2015,0,5,"Memphis, TN",Memphis, TN
10/10/2015,1,3,"Peoria, IL",Peoria, IL
10/12/2015,0,4,"DeKalb County, GA",DeKalb County, GA
